Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
bert-pubmed-origin_concat,1.21 ± 0.66,1.92 ± 0.70,9.91 ± 1.10,17.91 ± 1.27,30.46 ± 1.89,43.39 ± 1.76,4.22 ± 0.28,1.21 ± 0.66,1.92 ± 0.70,9.91 ± 1.10,17.91 ± 1.27,30.46 ± 1.89,43.39 ± 1.76,88.27 ± 0.23,87.02 ± 0.19,80.29 ± 0.40
e5-large-pubmed-origin_concat,5.95 ± 1.19,9.03 ± 4.27,16.25 ± 3.78,25.71 ± 3.17,37.34 ± 3.92,57.50 ± 3.18,10.89 ± 1.44,5.95 ± 1.19,9.03 ± 4.27,16.25 ± 3.78,25.71 ± 3.17,37.34 ± 3.92,57.50 ± 3.18,93.24 ± 0.91,92.23 ± 0.84,85.64 ± 1.50
llama-pubmed-origin_concat,10.97 ± 7.09,16.56 ± 6.11,38.23 ± 5.92,52.41 ± 1.92,75.96 ± 1.49,88.97 ± 1.20,21.70 ± 3.42,10.97 ± 7.09,17.17 ± 5.93,38.23 ± 5.92,52.41 ± 1.92,75.96 ± 1.49,88.97 ± 1.20,97.98 ± 0.15,97.60 ± 0.23,93.36 ± 0.43
minilm-pubmed-origin_cross,1.22 ± 0.83,2.48 ± 0.86,4.87 ± 0.46,7.30 ± 1.21,13.77 ± 0.87,22.70 ± 0.70,2.94 ± 0.71,1.22 ± 0.83,2.48 ± 0.86,4.89 ± 0.46,7.30 ± 1.21,13.77 ± 0.87,22.70 ± 0.70,71.34 ± 0.24,72.19 ± 0.43,65.97 ± 0.29
bert-pubmed-origin_cross,0.16 ± 0.12,2.28 ± 0.27,6.32 ± 0.94,11.12 ± 0.76,20.07 ± 0.31,28.40 ± 1.04,2.51 ± 0.15,0.16 ± 0.12,2.28 ± 0.27,6.32 ± 0.94,11.12 ± 0.76,20.07 ± 0.31,28.40 ± 1.04,77.84 ± 0.24,77.59 ± 0.19,70.16 ± 0.32
e5-large-pubmed-origin_cross,0.98 ± 0.39,2.71 ± 0.78,8.10 ± 2.40,14.54 ± 2.01,24.02 ± 2.03,36.48 ± 2.60,4.06 ± 0.33,0.98 ± 0.39,2.71 ± 0.78,8.10 ± 2.40,14.54 ± 2.01,24.02 ± 2.03,36.48 ± 2.60,85.55 ± 0.85,84.29 ± 0.68,77.26 ± 0.75
llama-pubmed-origin_cross,8.22 ± 4.28,12.42 ± 4.45,29.90 ± 1.54,40.67 ± 2.97,55.62 ± 2.00,70.58 ± 0.92,14.34 ± 4.06,8.22 ± 4.28,12.42 ± 4.45,29.90 ± 1.54,40.67 ± 2.97,55.62 ± 2.00,70.58 ± 0.92,94.38 ± 0.12,94.13 ± 0.16,86.68 ± 0.19
pubmed_runscjyfpzt_SAGE_Variant,23.95 ± 9.40,38.03 ± 3.90,58.17 ± 4.48,69.95 ± 2.95,86.55 ± 0.55,93.36 ± 0.70,35.63 ± 5.75,23.95 ± 9.40,38.03 ± 3.90,58.17 ± 4.48,69.95 ± 2.95,86.55 ± 0.55,93.36 ± 0.70,98.66 ± 0.15,98.56 ± 0.14,86.16 ± 0.82
pubmed_run08v8qg8k_GCN_Variant,10.15 ± 7.13,31.62 ± 8.36,55.71 ± 7.87,70.32 ± 5.17,83.11 ± 2.19,89.59 ± 1.73,24.55 ± 4.02,10.15 ± 7.13,31.62 ± 8.36,55.71 ± 7.87,70.32 ± 5.17,83.11 ± 2.19,89.59 ± 1.73,98.24 ± 0.16,98.07 ± 0.24,93.91 ± 0.30
pubmed_runtht2hpv6_GIN_Variant,10.46 ± 6.91,33.17 ± 6.22,54.70 ± 10.02,74.27 ± 2.59,86.92 ± 1.68,92.02 ± 0.91,24.63 ± 2.24,10.46 ± 6.91,33.17 ± 6.22,54.70 ± 10.02,74.27 ± 2.59,86.92 ± 1.68,92.02 ± 0.91,97.79 ± 0.16,97.73 ± 0.46,88.61 ± 0.64
pubmed_runb2cg5q6w_GAT_Variant,6.22 ± 6.08,19.39 ± 10.24,44.95 ± 7.17,56.72 ± 6.29,74.23 ± 2.54,84.03 ± 1.59,18.13 ± 5.81,6.22 ± 6.08,19.39 ± 10.24,44.95 ± 7.17,56.72 ± 6.29,74.23 ± 2.54,84.03 ± 1.59,96.90 ± 0.39,96.88 ± 0.41,86.50 ± 1.09
minilm-ncn-pubmed,18.00 ± 15.31,36.75 ± 6.26,58.65 ± 7.98,76.30 ± 3.08,88.85 ± 0.89,95.49 ± 0.66,33.60 ± 7.51,18.00 ± 15.31,36.75 ± 6.26,58.65 ± 7.98,76.30 ± 3.08,88.85 ± 0.89,95.49 ± 0.66,98.97 ± 0.10,98.87 ± 0.09,95.39 ± 0.28
llama-ncn-pubmed,15.99 ± 12.75,34.28 ± 7.86,59.43 ± 2.28,75.33 ± 4.78,90.05 ± 1.66,96.30 ± 0.62,30.73 ± 10.11,15.99 ± 12.75,34.28 ± 7.86,59.43 ± 2.28,75.33 ± 4.78,90.05 ± 1.66,96.30 ± 0.62,99.11 ± 0.07,98.98 ± 0.14,95.86 ± 0.35
llama-buddy-pubmed,8.93 ± 7.21,25.53 ± 9.20,62.59 ± 2.75,73.65 ± 5.79,88.10 ± 2.08,94.60 ± 0.98,24.57 ± 3.66,8.93 ± 7.21,25.53 ± 9.20,62.59 ± 2.75,73.65 ± 5.79,88.10 ± 2.08,94.60 ± 0.98,98.75 ± 0.18,98.62 ± 0.16,91.39 ± 3.22
minilm-buddy-pubmed,12.44 ± 4.52,23.93 ± 6.43,53.76 ± 6.96,69.11 ± 3.54,85.98 ± 1.19,93.56 ± 0.66,25.45 ± 4.86,12.44 ± 4.52,23.93 ± 6.43,53.76 ± 6.96,69.11 ± 3.54,85.98 ± 1.19,93.56 ± 0.66,98.68 ± 0.07,98.53 ± 0.09,73.38 ± 11.12
e5-large-buddy-pubmed,7.85 ± 8.21,28.84 ± 3.86,53.12 ± 2.23,70.09 ± 2.25,88.07 ± 0.57,93.95 ± 0.34,22.90 ± 5.86,7.85 ± 8.21,28.84 ± 3.86,53.12 ± 2.23,70.09 ± 2.25,88.07 ± 0.57,93.95 ± 0.34,98.72 ± 0.06,98.56 ± 0.11,91.99 ± 4.86
bert-buddy-pubmed,4.34 ± 4.43,15.84 ± 8.51,29.98 ± 3.54,41.59 ± 7.56,62.03 ± 3.16,78.54 ± 1.26,13.15 ± 2.84,4.34 ± 4.43,15.84 ± 8.51,29.98 ± 3.54,41.59 ± 7.56,62.03 ± 3.16,78.54 ± 1.26,96.25 ± 0.17,95.75 ± 0.18,85.22 ± 3.49
bert-ncn-pubmed,10.92 ± 8.73,29.84 ± 3.76,41.72 ± 3.56,52.79 ± 3.00,67.95 ± 3.42,81.09 ± 2.46,23.16 ± 6.75,10.92 ± 8.73,29.84 ± 3.76,41.72 ± 3.56,52.79 ± 3.00,67.95 ± 3.42,81.09 ± 2.46,97.24 ± 0.20,96.97 ± 0.26,91.49 ± 0.47
e5-large-ncn-pubmed,17.38 ± 13.25,37.19 ± 5.85,61.73 ± 8.29,76.90 ± 5.25,90.97 ± 1.77,96.33 ± 0.70,32.19 ± 4.80,17.38 ± 13.25,37.19 ± 5.85,61.73 ± 8.29,76.90 ± 5.25,90.97 ± 1.77,96.33 ± 0.70,99.10 ± 0.09,98.91 ± 0.10,95.95 ± 0.27
llama-ncnc-pubmed,5.33 ± 2.48,18.29 ± 12.43,49.91 ± 7.95,67.49 ± 1.36,84.65 ± 1.95,92.39 ± 1.46,20.51 ± 9.80,5.33 ± 2.48,18.29 ± 12.43,49.91 ± 7.95,67.49 ± 1.36,84.65 ± 1.95,92.39 ± 1.46,98.54 ± 0.18,98.24 ± 0.42,94.26 ± 0.28
minilm-ncnc-pubmed,15.58 ± 11.23,28.66 ± 8.27,57.86 ± 3.65,74.50 ± 4.21,90.32 ± 1.52,96.11 ± 0.60,22.56 ± 3.30,15.58 ± 11.23,28.66 ± 8.27,57.86 ± 3.65,74.50 ± 4.21,90.32 ± 1.52,96.11 ± 0.60,99.07 ± 0.07,98.81 ± 0.10,95.79 ± 0.36
bert-ncnc-pubmed,12.45 ± 6.61,23.29 ± 5.75,39.94 ± 4.27,50.07 ± 3.73,72.80 ± 1.78,82.48 ± 1.43,23.49 ± 3.07,12.45 ± 6.61,23.29 ± 5.75,39.94 ± 4.27,50.07 ± 3.73,72.80 ± 1.78,82.48 ± 1.43,97.40 ± 0.20,97.11 ± 0.28,91.31 ± 0.67
e5-large-ncnc-pubmed,13.75 ± 13.77,30.78 ± 7.34,60.84 ± 6.05,76.14 ± 1.06,90.86 ± 1.95,96.69 ± 0.56,27.02 ± 5.96,13.75 ± 13.77,30.78 ± 7.34,60.84 ± 6.05,76.14 ± 1.06,90.86 ± 1.95,96.69 ± 0.56,99.14 ± 0.10,98.96 ± 0.08,95.94 ± 0.41
