Metric,line_acc,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
cora_5o9yezhs_line,0.5741444866920152,0.0152,0.0608,0.1483,0.5361,0.0669,0.0152,0.0608,0.1483,0.5361,0.6036,0.6374
cora_p9tahoqw_line,0.5076045627376425,0.0,0.0038,0.038,0.3954,0.0228,0.0,0.0038,0.038,0.3954,0.5303,0.5352
cora_mk03cu92_line,0.5760456273764258,0.0152,0.0342,0.076,0.5361,0.0441,0.0152,0.0342,0.076,0.5361,0.603,0.5945
cora_51vlsmo0_line,0.5456273764258555,0.0076,0.0152,0.0494,0.4791,0.0319,0.0076,0.0152,0.0494,0.4791,0.5718,0.566
cora_3ra8lexu_line,0.5798479087452472,0.0038,0.0038,0.0418,0.4791,0.025,0.0038,0.0038,0.0418,0.4791,0.5627,0.5569
cora_61vn8arh_line,0.4904942965779467,0.0,0.0076,0.0228,0.3612,0.0192,0.0,0.0076,0.0228,0.3612,0.4965,0.4928
cora_e47tl7sx_line,0.5703422053231939,0.019,0.0532,0.1597,0.5133,0.0676,0.019,0.0532,0.1597,0.5133,0.5819,0.6227
cora_616vgyx4_line,0.5475285171102662,0.0,0.0228,0.0684,0.4601,0.032,0.0,0.0228,0.0684,0.4601,0.5826,0.5783
Best,0.5798479087452472,0.019,0.0608,0.1597,0.5361,0.0676,0.019,0.0608,0.1597,0.5361,0.6036,0.6374
