Metric,CN_acc,AA_acc,RA_acc,InverseRA_acc,Ben_PPR_acc,SymPPR_acc,shortest_path_acc,katz_apro_acc,katz_close_acc,pairwise_pred_acc
cora_<built-in function id>_,0.6349809765815735,0.4923954308032989,0.4923954308032989,0.4942965805530548,0.5456273555755615,0.5228136777877808,0.5475285053253174,0.8155893683433533,0.5475285053253174,0.5589353442192078
cora_<built-in function id>_,0.6520912647247314,0.4980988502502441,0.4980988502502441,0.4980988502502441,0.5779467821121216,0.5418251156806946,0.536121666431427,0.8193916082382202,0.536121666431427,0.6558935642242432
cora_<built-in function id>_,0.6349809765815735,0.4942965805530548,0.4961977303028106,0.4961977303028106,0.517110288143158,0.5038022994995117,0.5551331043243408,0.8098859190940857,0.5551331043243408,0.6007604598999023
cora_<built-in function id>_,0.6577946543693542,0.49619773030281067,0.49619773030281067,0.49619773030281067,0.5323193669319153,0.5228136777877808,0.5380228161811829,0.8460075855255127,0.5380228161811829,0.6102661490440369
Best,0.6577946543693542,0.4980988502502441,0.4980988502502441,0.4980988502502441,0.5779467821121216,0.5418251156806946,0.5551331043243408,0.8460075855255127,0.5551331043243408,0.6558935642242432
