Metric,CN_acc,AA_acc,RA_acc,InverseRA_acc,pairwise_pred_acc
pubmed_<built-in function id>_,0.5760378837585449,0.4986461997032165,0.4988718330860138,0.4986461997032165,0.498194932937622
pubmed_<built-in function id>_,0.5814530849456787,0.4986461997032165,0.4988718330860138,0.4986461997032165,0.5022563338279724
pubmed_<built-in function id>_,0.5832581520080566,0.4986461997032165,0.4986461997032165,0.4986461997032165,0.5020306706428528
pubmed_<built-in function id>_,0.5787454843521118,0.4993230998516083,0.4993230998516083,0.4993230998516083,0.4950360953807831
pubmed_<built-in function id>_,0.576714813709259,0.4988718330860138,0.4988718330860138,0.4988718330860138,0.5013538002967834
pubmed_<built-in function id>_,0.5819043517112732,0.499097466468811,0.499097466468811,0.4995487332344055,0.4997743666172027
pubmed_<built-in function id>_,0.5823556184768677,0.49909746646881104,0.49909746646881104,0.49909746646881104,0.4995487332344055
Best,0.5832581520080566,0.4993230998516083,0.4993230998516083,0.4995487332344055,0.5022563338279724
