name,num_nodes,num_edges,edge_density,degree_gini,avg_deg,avg_deg2,deg_heterogeneity,avg_shortest_path,approximate_diameter,num_triangles,avg_degree,coreness_eq_1,coreness_geq_2,coreness_geq_5,coreness_geq_10,coreness_gini,avg_cc,transitivity,cc_size,power_law_estimate
pwc_small_False,140.0,796.0,0.04090441932168551,0.41013998492043907,8.57824556951087,7.984468696827173,-0.08540234486887524,3.4722507708119217,9.0,245.0,5.685714244842529,0.03571428571428571,0.9642857142857143,0.3142857142857143,0.0,0.2581374309754932,0.22288915657476122,0.21668632075471697,1.0,1.9867491194579625
cora_True,2485.0,10138.0,0.0016423824752055001,0.39698470602949365,12.488121089416529,8.70596968445603,0.1221918528808415,6.310998681298742,19.0,1558.0,4.079678058624268,0.17464788732394365,0.8253521126760563,0.0,0.0,0.1911866882323951,0.23763551095541197,0.0900352512858051,1.0,2.31918093454252
cora_False,2708.0,10556.0,0.0014399999126942077,0.4051393857320956,11.631817525694618,8.153742908724379,0.12746976918289785,inf,inf,1630.0,3.8980798721313477,0.21122599704579026,0.7887740029542097,0.0,0.0,0.20518309946924523,0.24067329850193736,0.09349725626661058,0.9176514032496307,2.3914773148525077
arxiv_2023_True,13153.0,68260.0,0.0003945932607124497,0.5821291074521155,44.37546321678302,26.329102942858274,0.4657402348675699,6.061666440524148,24.0,20592.0,5.189690589904785,0.38295445905876985,0.6170455409412301,0.17448490838591957,0.034592868547099524,0.4166853224147719,0.13144058653131216,0.037310814132642554,1.0,2.3664639325494785
arxiv_2023_False,46198.0,77726.0,3.6419113489581066e-05,0.8207875898744171,12.885072787094588,17.933077077271605,0.6989002194824443,inf,inf,21119.0,1.6824537515640259,0.23520498722888436,0.19492185808909476,0.0498939348023724,0.009848911208277415,0.7474353773840745,0.05036601899431227,0.038152456873217166,0.28470929477466556,2.8973807128978044
pubmed_False,19717.0,88648.0,0.00022803908825811385,0.6037477312841656,19.274351030248734,10.561950790355754,0.2182193373346023,6.282,inf,4.496018886566162,0.47233351929806766,0.5276664807019323,0.13338743216513668,0.006948318709742862,0.3904279512373717,0.060175209437523615,0.0537076280274887,1.0,2.656579032979695
pwc_medium_False,86795.0,933138.0,0.00012386866705696206,0.6188380700932069,614.8991296213945,206.1209964145686,0.7811274000532511,4.209,inf,None,10.751056671142578,0.15778558672734605,0.842214413272654,0.5021833054899476,0.19052940837605853,0.39830390110707464,0.12223889315109954,0.005146776669122604,1.0,1.8295125280377185
ogbn-arxiv_False,169343.0,2315598.0,8.074789913670332e-05,0.629486330322017,330.02326280458345,153.61530502314648,0.7006693915497058,5.8,inf,None, 13.674010276794434,0.14023608888468966,0.8597639111153104,0.5155453724098428,0.2594320402969122,0.475535316262574,0.22612914062470954,0.01620149151351999,1.0,1.7267496417533534
citationv8_False,1106759.0,12227452.0,9.982291192248535e-06,0.577538403947238,74.2842939040262,51.48585749521032,0.3639331753760767,inf,inf,None, 11.047980308532715,0.16224760765442162,0.8377523923455784,0.5278113844116018,0.2034724813622478,0.3985633914751258,0.12407687831845615,0.03429056130531015,0.9796387470081562,1.769106859988249
citationv8_True,1084224.0,12198168.0,1.0376645452527433e-05,0.5723562705752355,75.79618731961122,52.52795696945896,0.35984518262295184,6.025,inf,None,11.250597953796387,0.14665511923735317,0.8533448807626468,0.5387447612301517,0.20770154506817778,0.3914314369975958,0.1254111272944138,0.03428320651792286,1.0,1.7547036111963323


