Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
neognn-arxiv_2023-llama,14.77 ± 14.96,24.14 ± 13.95,40.77 ± 13.24,45.83 ± 15.65,56.20 ± 10.94,63.67 ± 8.29,22.39 ± 13.38,14.77 ± 14.96,20.61 ± 17.73,35.16 ± 22.61,45.83 ± 15.65,56.20 ± 10.94,63.67 ± 8.29,86.94 ± 1.22,88.63 ± 1.34,76.93 ± 4.05
neognn-arxiv_2023-bert,17.06 ± 7.76,25.38 ± 8.78,38.89 ± 11.58,45.96 ± 10.88,57.40 ± 9.79,65.43 ± 8.49,23.92 ± 8.63,17.06 ± 7.76,21.27 ± 14.45,38.89 ± 11.58,45.96 ± 10.88,57.40 ± 9.79,65.43 ± 8.49,86.22 ± 1.93,87.91 ± 1.48,77.40 ± 3.57
neognn-arxiv_2023-e5,12.63 ± 10.71,32.35 ± 13.28,47.81 ± 12.06,53.20 ± 13.95,63.56 ± 11.23,69.09 ± 9.97,24.70 ± 11.08,12.63 ± 10.71,32.35 ± 13.28,47.81 ± 12.06,53.20 ± 13.95,63.56 ± 11.23,69.09 ± 9.97,88.32 ± 1.81,90.27 ± 2.25,79.92 ± 3.18
neognn-arxiv_2023-minilm,10.73 ± 19.47,34.79 ± 16.94,46.67 ± 14.83,54.86 ± 13.27,62.53 ± 14.04,68.60 ± 11.86,21.49 ± 18.99,10.73 ± 19.47,31.61 ± 22.69,47.74 ± 12.72,54.86 ± 13.27,62.53 ± 14.04,68.67 ± 11.72,86.10 ± 0.75,87.47 ± 1.08,79.72 ± 4.45
Best,17.06,34.79,47.81,54.86,63.56,69.09,24.7,17.06,32.35,47.81,54.86,63.56,69.09,88.32,90.27,79.92
