Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
neognn-cora-bert,36.76 ± 10.15,50.99 ± 3.50,68.70 ± 4.60,73.60 ± 5.50,80.08 ± 4.22,87.59 ± 3.79,45.50 ± 8.99,36.76 ± 10.15,50.99 ± 3.50,68.70 ± 4.60,73.60 ± 5.50,80.08 ± 4.22,87.59 ± 3.79,87.77 ± 2.30,89.54 ± 2.78,80.83 ± 2.99
neognn-cora-minilm,28.46 ± 15.72,55.57 ± 7.45,68.46 ± 4.11,74.55 ± 3.85,81.35 ± 5.27,87.59 ± 6.28,43.83 ± 6.82,28.46 ± 15.72,55.57 ± 7.45,68.46 ± 4.11,74.55 ± 3.85,81.35 ± 5.27,89.72 ± 3.21,88.66 ± 2.63,90.59 ± 3.38,81.38 ± 2.39
neognn-cora-e5,25.85 ± 17.48,55.10 ± 6.16,68.85 ± 3.20,72.81 ± 4.82,78.81 ± 2.49,82.06 ± 4.54,47.04 ± 8.63,25.85 ± 17.48,55.10 ± 6.16,68.85 ± 3.20,72.81 ± 4.82,78.81 ± 2.49,82.06 ± 4.54,87.06 ± 1.69,88.89 ± 1.89,81.66 ± 1.44
neognn-cora-llama,26.32 ± 15.66,54.94 ± 5.56,66.96 ± 3.67,73.28 ± 3.45,77.63 ± 4.33,83.00 ± 8.24,47.11 ± 8.51,26.32 ± 15.66,54.94 ± 5.56,66.96 ± 3.67,73.28 ± 3.45,77.63 ± 4.33,84.03 ± 9.29,87.08 ± 3.07,88.63 ± 2.71,81.82 ± 1.70
Best,36.76,55.57,68.85,74.55,81.35,87.59,47.11,36.76,55.57,68.85,74.55,81.35,89.72,88.66,90.59,81.82
